year_month,year,month,trip_type,ridership,fare_evasion
2019-01-01,2019,1,Local,114656968,0.25
2019-04-01,2019,4,Local,121011422,0.279
2019-07-01,2019,7,Local,115830407,0.21
2019-09-01,2019,9,Local,114758496,0.206
2020-01-01,2020,1,Local,94516835,0.211
2020-04-01,2020,4,Local,50240,0.211
2020-07-01,2020,7,Local,20319469,0.211
2020-09-01,2020,9,Local,58410040,0.233
2020-09-01,2020,9,Express,904829,0.047
2021-01-01,2021,1,Local,54882761,0.236
2021-01-01,2021,1,Express,864625,0.064
2021-01-01,2021,1,SBS,8377749,0.338
2021-04-01,2021,4,Local,66295766,0.238
2021-04-01,2021,4,Express,1109559,0.054
2021-04-01,2021,4,SBS,10490334,0.311
2021-07-01,2021,7,Local,70182147,0.252
2021-07-01,2021,7,Express,1282027,0.073
2021-07-01,2021,7,SBS,11109776,0.321
2021-09-01,2021,9,Local,74133318,0.293
2021-09-01,2021,9,Express,1484947,0.06
2021-09-01,2021,9,SBS,11680580,0.363
2022-01-01,2022,1,Local,67236084,0.315
2022-01-01,2022,1,Express,1505581,0.063
2022-01-01,2022,1,SBS,10026402,0.403
2022-04-01,2022,4,Local,75707517,0.326
2022-04-01,2022,4,Express,1798055,0.062
2022-04-01,2022,4,SBS,11722920,0.391
2022-07-01,2022,7,Local,74737479,0.329
2022-07-01,2022,7,Express,1834530,0.062
2022-07-01,2022,7,SBS,11283569,0.413
2022-09-01,2022,9,Local,74222923,0.363
2022-09-01,2022,9,Express,1915174,0.061
2022-09-01,2022,9,SBS,11102729,0.456
2023-01-01,2023,1,Local,73505387,0.377
2023-01-01,2023,1,Express,2025885,0.059
2023-01-01,2023,1,SBS,11237493,0.465
2023-04-01,2023,4,Local,75611114,0.398
2023-04-01,2023,4,Express,2108869,0.061
2023-04-01,2023,4,SBS,11767213,0.445
2023-07-01,2023,7,Local,71266876,0.41
2023-07-01,2023,7,Express,2035532,0.064
2023-07-01,2023,7,SBS,10959472,0.483
2023-09-01,2023,9,Local,67727952,0.454
2023-09-01,2023,9,Express,2098874,0.062
2023-09-01,2023,9,SBS,10400391,0.539
