year_month,year,month,fare
1966-01-01,1966,1,0.2
1967-01-01,1967,1,0.2
1968-01-01,1968,1,0.2
1969-01-01,1969,1,0.2
1970-01-01,1970,1,0.2
1971-01-01,1971,1,0.3
1972-01-01,1972,1,0.35
1973-01-01,1973,1,0.35
1974-01-01,1974,1,0.35
1975-01-01,1975,1,0.35
1976-01-01,1976,1,0.5
1977-01-01,1977,1,0.5
1978-01-01,1978,1,0.5
1979-01-01,1979,1,0.5
1980-01-01,1980,1,0.6
1981-01-01,1981,1,0.6
1982-01-01,1982,1,0.75
1983-01-01,1983,1,0.75
1984-01-01,1984,1,0.75
1985-01-01,1985,1,0.9
1986-01-01,1986,1,1.0
1987-01-01,1987,1,1.0
1988-01-01,1988,1,1.0
1989-01-01,1989,1,1.0
1990-01-01,1990,1,1.0
1991-01-01,1991,1,1.15
1992-01-01,1992,1,1.25
1993-01-01,1993,1,1.25
1994-01-01,1994,1,1.25
1995-01-01,1995,1,1.25
1996-01-01,1996,1,1.5
1997-01-01,1997,1,1.5
1998-01-01,1998,1,1.5
1999-01-01,1999,1,1.5
2000-01-01,2000,1,1.5
2001-01-01,2001,1,1.5
2002-01-01,2002,1,1.5
2003-01-01,2003,1,1.5
2004-01-01,2004,1,2.0
2005-01-01,2005,1,2.0
2006-01-01,2006,1,2.0
2007-01-01,2007,1,2.0
2008-01-01,2008,1,2.0
2009-01-01,2009,1,2.0
2010-01-01,2010,1,2.25
2011-01-01,2011,1,2.25
2012-01-01,2012,1,2.25
2013-03-01,2013,3,2.5
2014-01-01,2014,1,2.5
2015-03-01,2015,3,2.75
2016-01-01,2016,3,2.75
2017-01-01,2017,3,2.75
2018-01-01,2018,3,2.75
2019-01-01,2019,3,2.75
2020-01-01,2020,3,2.75
2021-01-01,2021,3,2.75
2022-01-01,2022,3,2.75
2023-08-01,2023,8,2.9
