year,region,type,min_wage
2017,NYC_Big,Nominal,11.0
2017,NYC_Small,Nominal,10.5
2017,LI&W,Nominal,10.0
2017,Rest,Nominal,9.7
2017,NYC_Big,Real,11.0
2017,NYC_Small,Real,10.5
2017,LI&W,Real,10.0
2017,Rest,Real,9.7
2018,NYC_Big,Nominal,13.0
2018,NYC_Small,Nominal,12.0
2018,LI&W,Nominal,11.0
2018,Rest,Nominal,10.4
2018,NYC_Big,Real,12.69003531697332
2018,NYC_Small,Real,11.713878754129215
2018,LI&W,Real,10.737722191285116
2018,Rest,Real,10.152028253578656
2019,NYC_Big,Nominal,15.0
2019,NYC_Small,Nominal,13.5
2019,LI&W,Nominal,12.0
2019,Rest,Nominal,11.1
2019,NYC_Big,Real,14.381721437770402
2019,NYC_Small,Real,12.94354929399336
2019,LI&W,Real,11.50537715021632
2019,Rest,Real,10.642473863950096
2020,NYC_Big,Nominal,15.0
2020,NYC_Small,Nominal,15.0
2020,LI&W,Nominal,13.0
2020,Rest,Nominal,11.8
2020,NYC_Big,Real,14.206472608407546
2020,NYC_Small,Real,14.206472608407546
2020,LI&W,Real,12.312276260619871
2020,Rest,Real,11.175758451947267
2021,NYC_Big,Nominal,15.0
2021,NYC_Small,Nominal,15.0
2021,LI&W,Nominal,14.0
2021,Rest,Nominal,12.5
2021,NYC_Big,Real,13.569019235541974
2021,NYC_Small,Real,13.569019235541974
2021,LI&W,Real,12.664417953172508
2021,Rest,Real,11.307516029618313
2022,NYC_Big,Nominal,15.0
2022,NYC_Small,Nominal,15.0
2022,LI&W,Nominal,15.0
2022,Rest,Nominal,13.2
2022,NYC_Big,Real,12.56358099798426
2022,NYC_Small,Real,12.56358099798426
2022,LI&W,Real,12.56358099798426
2022,Rest,Real,11.055951278226146
2023,NYC_Big,Nominal,15.0
2023,NYC_Small,Nominal,15.0
2023,LI&W,Nominal,15.0
2023,Rest,Nominal,14.2
2023,NYC_Big,Real,12.066867883576805
2023,NYC_Small,Real,12.066867883576805
2023,LI&W,Real,12.066867883576805
2023,Rest,Real,11.423301596452704
