Time Period,Trip Type,Fare Evasion,Ridership
2019-Q1,Local,0.25,114656968
2019-Q2,Local,0.279,121011422
2019-Q3,Local,0.21,115830407
2019-Q4,Local,0.206,114758496
2020-Q1,Local,0.211,94516835
2020-Q2,Local,,50240
2020-Q3,Local,,20319469
2020-Q4,Local,0.233,58410040
2020-Q4,Express,0.047,904829
2021-Q1,Local,0.236,54882761
2021-Q1,Express,0.064,864625
2021-Q1,SBS,0.338,8377749
2021-Q2,Local,0.238,66295766
2021-Q2,Express,0.054,1109559
2021-Q2,SBS,0.311,10490334
2021-Q3,Local,0.252,70182147
2021-Q3,Express,0.073,1282027
2021-Q3,SBS,0.321,11109776
2021-Q4,Local,0.293,74133318
2021-Q4,Express,0.06,1484947
2021-Q4,SBS,0.363,11680580
2022-Q1,Local,0.315,67236084
2022-Q1,Express,0.063,1505581
2022-Q1,SBS,0.403,10026402
2022-Q2,Local,0.326,75707517
2022-Q2,Express,0.062,1798055
2022-Q2,SBS,0.391,11722920
2022-Q3,Local,0.329,74737479
2022-Q3,Express,0.062,1834530
2022-Q3,SBS,0.413,11283569
2022-Q4,Local,0.363,74222923
2022-Q4,Express,0.061,1915174
2022-Q4,SBS,0.456,11102729
2023-Q1,Local,0.377,73505387
2023-Q1,Express,0.059,2025885
2023-Q1,SBS,0.465,11237493
2023-Q2,Local,0.398,75611114
2023-Q2,Express,0.061,2108869
2023-Q2,SBS,0.445,11767213
2023-Q3,Local,0.41,71266876
2023-Q3,Express,0.064,2035532
2023-Q3,SBS,0.483,10959472
2023-Q4,Local,0.454,67727952
2023-Q4,Express,0.062,2098874
2023-Q4,SBS,0.539,10400391
