year_month,year,mon,arrest_count
2006-01-01,2006,1,1182
2006-02-01,2006,2,1333
2006-03-01,2006,3,1477
2006-04-01,2006,4,1135
2006-05-01,2006,5,1183
2006-06-01,2006,6,1296
2006-07-01,2006,7,1096
2006-08-01,2006,8,1317
2006-09-01,2006,9,1291
2006-10-01,2006,10,1308
2006-11-01,2006,11,1163
2006-12-01,2006,12,1045
2007-01-01,2007,1,1530
2007-02-01,2007,2,1480
2007-03-01,2007,3,1544
2007-04-01,2007,4,1424
2007-05-01,2007,5,1431
2007-06-01,2007,6,1384
2007-07-01,2007,7,1339
2007-08-01,2007,8,1521
2007-09-01,2007,9,1187
2007-10-01,2007,10,1547
2007-11-01,2007,11,1385
2007-12-01,2007,12,1196
2008-01-01,2008,1,1677
2008-02-01,2008,2,1556
2008-03-01,2008,3,1735
2008-04-01,2008,4,1454
2008-05-01,2008,5,1261
2008-06-01,2008,6,1565
2008-07-01,2008,7,1327
2008-08-01,2008,8,1469
2008-09-01,2008,9,1698
2008-10-01,2008,10,1658
2008-11-01,2008,11,1542
2008-12-01,2008,12,1389
2009-01-01,2009,1,2027
2009-02-01,2009,2,1801
2009-03-01,2009,3,2074
2009-04-01,2009,4,1907
2009-05-01,2009,5,1950
2009-06-01,2009,6,1839
2009-07-01,2009,7,1740
2009-08-01,2009,8,1745
2009-09-01,2009,9,1983
2009-10-01,2009,10,2012
2009-11-01,2009,11,1803
2009-12-01,2009,12,1688
2010-01-01,2010,1,2352
2010-02-01,2010,2,2117
2010-03-01,2010,3,2430
2010-04-01,2010,4,2206
2010-05-01,2010,5,2160
2010-06-01,2010,6,2227
2010-07-01,2010,7,2123
2010-08-01,2010,8,2188
2010-09-01,2010,9,2434
2010-10-01,2010,10,2179
2010-11-01,2010,11,1866
2010-12-01,2010,12,1735
2011-01-01,2011,1,2487
2011-02-01,2011,2,2172
2011-03-01,2011,3,2362
2011-04-01,2011,4,2289
2011-05-01,2011,5,2122
2011-06-01,2011,6,1991
2011-07-01,2011,7,1984
2011-08-01,2011,8,1853
2011-09-01,2011,9,1958
2011-10-01,2011,10,1994
2011-11-01,2011,11,2386
2011-12-01,2011,12,2251
2012-01-01,2012,1,3260
2012-02-01,2012,2,2779
2012-03-01,2012,3,3216
2012-04-01,2012,4,2523
2012-05-01,2012,5,2720
2012-06-01,2012,6,2573
2012-07-01,2012,7,2382
2012-08-01,2012,8,2584
2012-09-01,2012,9,2435
2012-10-01,2012,10,2446
2012-11-01,2012,11,2042
2012-12-01,2012,12,2471
2013-01-01,2013,1,3169
2013-02-01,2013,2,2908
2013-03-01,2013,3,3065
2013-04-01,2013,4,3053
2013-05-01,2013,5,2930
2013-06-01,2013,6,2621
2013-07-01,2013,7,2614
